IDMessage;Battery;Value;Delta;Origin
0;B2;2.24;0.00;2.240
0;B3;2.20;0.00;2.200
0;B4;2.15;0.00;2.150
0;B5;2.25;0.00;2.250
watts;; 214.00;;
amps;; 2.76;;
0;B0;1.46;0.00;1.460
0;B1;0.86;0.00;0.860
0;B2;1.70;0.00;1.700
0;B3;1.67;0.00;1.670
0;B4;1.52;0.00;1.520
0;B5;1.66;0.00;1.660
watts;; 217.04;;
amps;;22.31;;
0;B0;1.61;0.00;1.610
0;B1;0.96;0.00;0.960
0;B2;1.72;0.00;1.720
0;B3;1.73;0.00;1.730
0;B4;1.67;0.00;1.670
0;B5;1.72;0.00;1.720
watts;; 220.04;;
amps;;15.81;;
0;B0;2.65;0.00;2.650
0;B1;2.55;0.00;2.550
0;B2;2.69;0.00;2.690
0;B3;2.66;0.00;2.660
0;B4;2.65;0.00;2.650
0;B5;2.72;0.00;2.720
watts;; 222.31;;
amps;; 0.00;;
0;B0;2.08;0.00;2.080
0;B1;1.78;0.00;1.780
0;B2;2.21;0.00;2.210
0;B3;2.19;0.00;2.190
0;B4;2.11;0.00;2.110
0;B5;2.20;0.00;2.200
watts;; 222.38;;
amps;; 7.37;;
0;B0;2.73;0.00;2.730
0;B1;2.68;0.00;2.680
0;B2;2.76;0.00;2.760
0;B3;2.72;0.00;2.720
0;B4;2.74;0.00;2.740
0;B5;2.77;0.00;2.770
watts;; 222.74;;
amps;; 0.00;;
0;B0;2.73;0.00;2.730
0;B1;2.66;0.00;2.660
0;B2;2.77;0.00;2.770
0;B3;2.73;0.00;2.730
0;B4;2.74;0.00;2.740
0;B5;2.75;0.00;2.750
watts;; 222.85;;
amps;; 0.00;;
0;B0;2.76;0.00;2.760
0;B1;2.72;0.00;2.720
0;B2;2.80;0.00;2.800
0;B3;2.79;0.00;2.790
0;B4;2.77;0.00;2.770
0;B5;2.80;0.00;2.800
watts;; 222.85;;
amps;; 0.00;;
0;B0;2.79;0.00;2.790
0;B1;2.76;0.00;2.760
0;B2;2.83;0.00;2.830
0;B3;2.78;0.00;2.780
0;B4;2.81;0.00;2.810
0;B5;2.82;0.00;2.820
watts;; 222.85;;
amps;; 0.00;;
0;B0;2.71;0.00;2.710
0;B1;2.65;0.00;2.650
0;B2;2.75;0.00;2.750
0;B3;2.73;0.00;2.730
0;B4;2.73;0.00;2.730
0;B5;2.74;0.00;2.740
watts;; 222.80;;
amps;; 0.00;;
0;B0;1.56;0.00;1.560
0;B1;1.03;0.00;1.030
0;B2;1.80;0.00;1.800
0;B3;1.76;0.00;1.760
0;B4;1.63;0.00;1.630
0;B5;1.74;0.00;1.740
watts;; 224.27;;
amps;;25.48;;
0;B0;2.72;0.00;2.720
0;B1;2.66;0.00;2.660
0;B2;2.76;0.00;2.760
0;B3;2.70;0.00;2.700
0;B4;2.73;0.00;2.730
0;B5;2.76;0.00;2.760
watts;; 226.90;;
amps;; 0.00;;
0;B0;1.32;0.00;1.320
0;B1;0.67;0.00;0.670
0;B2;1.58;0.00;1.580
0;B3;1.54;0.00;1.540
0;B4;1.38;0.00;1.380
0;B5;1.55;0.00;1.550
watts;; 230.66;;
amps;;30.86;;
0;B0;2.70;0.00;2.700
0;B1;2.63;0.00;2.630
0;B2;2.73;0.00;2.730
0;B3;2.68;0.00;2.680
0;B4;2.71;0.00;2.710
0;B5;2.73;0.00;2.730
watts;; 232.00;;
amps;; 0.00;;
0;B0;2.73;0.00;2.730
0;B1;2.68;0.00;2.680
0;B2;2.78;0.00;2.780
0;B3;2.72;0.00;2.720
0;B4;2.75;0.00;2.750
0;B5;2.77;0.00;2.770
watts;; 232.38;;
amps;; 0.00;;
0;B0;2.70;0.00;2.700
0;B1;2.63;0.00;2.630
0;B2;2.75;0.00;2.750
0;B3;2.69;0.00;2.690
0;B4;2.71;0.00;2.710
0;B5;2.74;0.00;2.740
watts;; 232.38;;
amps;; 0.00;;
0;B0;2.78;0.00;2.780
0;B1;2.74;0.00;2.740
0;B2;2.81;0.00;2.810
0;B3;2.78;0.00;2.780
0;B4;2.79;0.00;2.790
0;B5;2.79;0.00;2.790
watts;;  23.00;;
amps;; 0.00;;
0;B0;2.80;0.00;2.800
0;B1;2.77;0.00;2.770
0;B2;2.82;0.00;2.820
0;B3;2.77;0.00;2.770
0;B4;2.80;0.00;2.800
0;B5;2.84;0.00;2.840
watts;; 232.38;;
amps;; 0.00;;
0;B0;2.81;0.00;2.810
0;B1;2.78;0.00;2.780
0;B2;2.83;0.00;2.830
0;B3;2.80;0.00;2.800
0;B4;2.82;0.00;2.820
0;B5;2.83;0.00;2.830
watts;; 232.38;;
amps;; 0.00;;
0;B0;2.82;0.00;2.820
0;B1;2.80;0.00;2.800
0;B2;2.86;0.00;2.860
0;B3;2.81;0.00;2.810
0;B4;2.84;0.00;2.840
0;B5;2.83;0.00;2.830
watts;; 232.38;;
amps;; 0.00;;
0;B0;2.82;0.00;2.820
0;B1;2.81;0.00;2.810
0;B2;2.85;0.00;2.850
0;B3;2.82;0.00;2.820
0;B4;2.84;0.00;2.840
0;B5;2.84;0.00;2.840
watts;; 232.38;;
amps;; 0.00;;
0;B0;2.74;0.00;2.740
0;B1;2.66;0.00;2.660
0;B2;2.78;0.00;2.780
0;B3;2.73;0.00;2.730
0;B4;2.75;0.00;2.750
0;B5;2.77;0.00;2.770
watts;; 233.19;;
amps;; 0.00;;
0;B0;1.30;0.00;1.300
0;B1;0.64;0.00;0.640
0;B2;1.57;0.00;1.570
0;B3;1.55;0.00;1.550
0;B4;1.37;0.00;1.370
0;B5;1.51;0.00;1.510
watts;; 235.25;;
amps;;32.97;;
0;B0;2.71;0.00;2.710
0;B1;2.65;0.00;2.650
0;B2;2.75;0.00;2.750
0;B3;2.70;0.00;2.700
0;B4;2.72;0.00;2.720
0;B5;2.74;0.00;2.740
watts;; 237.65;;
amps;; 0.00;;
0;B0;2.74;0.00;2.740
0;B1;2.70;0.00;2.700
0;B2;2.79;0.00;2.790
0;B3;2.74;0.00;2.740
0;B4;2.75;0.00;2.750
0;B5;2.77;0.00;2.770
watts;; 237.65;;
amps;; 0.00;;
0;B0;2.06;0.00;2.060
0;B1;1.79;0.00;1.790
0;B2;2.21;0.00;2.210
0;B3;2.16;0.00;2.160
0;B4;2.11;0.00;2.110
0;B5;2.18;0.00;2.180
watts;; 237.70;;
amps;;13.37;;
0;B0;2.48;0.00;2.480
0;B1;2.19;0.00;2.190
0;B2;2.54;0.00;2.540
0;B3;2.51;0.00;2.510
0;B4;2.47;0.00;2.470
0;B5;2.55;0.00;2.550
watts;; 244.16;;
amps;; 0.00;;
0;B0;2.62;0.00;2.620
0;B1;2.48;0.00;2.480
0;B2;2.68;0.00;2.680
0;B3;2.63;0.00;2.630
0;B4;2.61;0.00;2.610
0;B5;2.67;0.00;2.670
watts;; 244.41;;
amps;; 0.00;;
0;B0;2.32;0.00;2.320
0;B1;2.12;0.00;2.120
0;B2;2.41;0.00;2.410
0;B3;2.39;0.00;2.390
0;B4;2.34;0.00;2.340
0;B5;2.41;0.00;2.410
watts;; 244.42;;
amps;; 3.98;;
0;B0;1.32;0.00;1.320
0;B1;0.64;0.00;0.640
0;B2;1.59;0.00;1.590
0;B3;1.55;0.00;1.550
0;B4;1.36;0.00;1.360
0;B5;1.56;0.00;1.560
watts;;  28.31;;
amps;;28.31;;
0;B0;2.53;0.00;2.530
0;B1;2.38;0.00;2.380
0;B2;2.58;0.00;2.580
0;B3;2.56;0.00;2.560
0;B4;2.52;0.00;2.520
0;B5;2.60;0.00;2.600
watts;;  25.00;;
amps;; 0.00;;
0;B0;2.54;0.00;2.540
0;B1;2.42;0.00;2.420
0;B2;2.61;0.00;2.610
0;B3;2.56;0.00;2.560
0;B4;2.54;0.00;2.540
0;B5;2.60;0.00;2.600
watts;; 254.28;;
amps;; 0.00;;
0;B0;2.39;0.00;2.390
0;B1;2.17;0.00;2.170
0;B2;2.48;0.00;2.480
0;B3;2.44;0.00;2.440
0;B4;2.40;0.00;2.400
0;B5;2.48;0.00;2.480
watts;; 254.28;;
amps;; 0.00;;
0;B0;2.42;0.00;2.420
0;B1;2.21;0.00;2.210
0;B2;2.52;0.00;2.520
0;B3;2.51;0.00;2.510
0;B4;2.44;0.00;2.440
0;B5;2.51;0.00;2.510
watts;; 254.29;;
amps;; 0.00;;
0;B0;2.37;0.00;2.370
0;B1;2.12;0.00;2.120
0;B2;2.47;0.00;2.470
0;B3;2.44;0.00;2.440
0;B4;2.39;0.00;2.390
0;B5;2.47;0.00;2.470
watts;; 254.43;;
amps;; 0.00;;
0;B0;2.34;0.00;2.340
0;B1;2.07;0.00;2.070
0;B2;2.45;0.00;2.450
0;B3;2.42;0.00;2.420
0;B4;2.37;0.00;2.370
0;B5;2.45;0.00;2.450
watts;; 254.82;;
amps;; 0.00;;
0;B0;2.71;0.00;2.710
0;B1;2.63;0.00;2.630
0;B2;2.75;0.00;2.750
0;B3;2.72;0.00;2.720
0;B4;2.72;0.00;2.720
0;B5;2.75;0.00;2.750
watts;; 254.93;;
amps;; 0.00;;
0;B0;2.76;0.00;2.760
0;B1;2.68;0.00;2.680
0;B2;2.79;0.00;2.790
0;B3;2.75;0.00;2.750
0;B4;2.76;0.00;2.760
0;B5;2.81;0.00;2.810
watts;; 254.93;;
amps;; 0.00;;
0;B0;2.75;0.00;2.750
0;B1;2.69;0.00;2.690
0;B2;2.78;0.00;2.780
0;B3;2.74;0.00;2.740
0;B4;2.75;0.00;2.750
0;B5;2.77;0.00;2.770
watts;; 254.93;;
amps;; 0.00;;
0;B0;2.63;0.00;2.630
0;B1;2.54;0.00;2.540
0;B2;2.69;0.00;2.690
0;B3;2.64;0.00;2.640
0;B4;2.65;0.00;2.650
0;B5;2.67;0.00;2.670
watts;; 254.93;;
amps;; 0.00;;
0;B0;1.75;0.00;1.750
0;B1;1.23;0.00;1.230
0;B2;1.98;0.00;1.980
0;B3;1.94;0.00;1.940
0;B4;1.82;0.00;1.820
0;B5;1.94;0.00;1.940
watts;; 257.08;;
amps;;16.81;;
0;B0;1.90;0.00;1.900
0;B1;1.44;0.00;1.440
0;B2;2.09;0.00;2.090
0;B3;2.04;0.00;2.040
0;B4;1.95;0.00;1.950
0;B5;2.04;0.00;2.040
watts;; 259.85;;
amps;; 9.98;;
0;B0;1.57;0.00;1.570
0;B1;0.94;0.00;0.940
0;B2;1.82;0.00;1.820
0;B3;1.79;0.00;1.790
0;B4;1.64;0.00;1.640
0;B5;1.79;0.00;1.790
watts;;  18.03;;
amps;;18.03;;
0;B0;2.48;0.00;2.480
0;B1;2.29;0.00;2.290
0;B2;2.56;0.00;2.560
0;B3;2.50;0.00;2.500
0;B4;2.50;0.00;2.500
0;B5;2.53;0.00;2.530
watts;; 265.78;;
amps;; 0.00;;
0;B0;1.58;0.00;1.580
0;B1;0.97;0.00;0.970
0;B2;1.81;0.00;1.810
0;B3;1.77;0.00;1.770
0;B4;1.64;0.00;1.640
0;B5;1.87;0.00;1.870
watts;; 268.36;;
amps;;19.48;;
0;B0;2.66;0.00;2.660
0;B1;2.55;0.00;2.550
0;B2;2.71;0.00;2.710
0;B3;2.69;0.00;2.690
0;B4;2.66;0.00;2.660
0;B5;2.70;0.00;2.700
watts;; 268.98;;
amps;; 0.00;;
0;B0;2.71;0.00;2.710
0;B1;2.63;0.00;2.630
0;B2;2.76;0.00;2.760
0;B3;2.71;0.00;2.710
0;B4;2.72;0.00;2.720
0;B5;2.74;0.00;2.740
watts;; 268.98;;
amps;; 0.00;;
0;B0;2.73;0.00;2.730
0;B1;2.67;0.00;2.670
0;B2;2.76;0.00;2.760
0;B3;2.74;0.00;2.740
0;B4;2.74;0.00;2.740
0;B5;2.76;0.00;2.760
watts;; 268.98;;
amps;; 0.00;;
0;B0;2.29;0.00;2.290
0;B1;1.96;0.00;1.960
0;B2;2.42;0.00;2.420
0;B3;2.40;0.00;2.400
0;B4;2.31;0.00;2.310
0;B5;2.42;0.00;2.420
watts;; 269.99;;
amps;; 0.00;;
0;B0;1.42;0.00;1.420
0;B1;0.73;0.00;0.730
0;B2;1.67;0.00;1.670
0;B3;1.66;0.00;1.660
0;B4;1.48;0.00;1.480
0;B5;1.65;0.00;1.650
watts;; 275.65;;
amps;;22.03;;
0;B0;2.38;0.00;2.380
0;B1;2.01;0.00;2.010
0;B2;2.49;0.00;2.490
0;B3;2.44;0.00;2.440
0;B4;2.39;0.00;2.390
0;B5;2.49;0.00;2.490
watts;; 280.55;;
amps;; 0.00;;
0;B0;2.66;0.00;2.660
0;B1;2.56;0.00;2.560
0;B2;2.71;0.00;2.710
0;B3;2.67;0.00;2.670
0;B4;2.66;0.00;2.660
0;B5;2.70;0.00;2.700
watts;; 281.00;;
amps;; 0.00;;
0;B0;2.70;0.00;2.700
0;B1;2.62;0.00;2.620
0;B2;2.75;0.00;2.750
0;B3;2.73;0.00;2.730
0;B4;2.70;0.00;2.700
0;B5;2.73;0.00;2.730
watts;; 281.04;;
amps;; 0.00;;
0;B0;1.27;0.00;1.270
0;B1;0.50;0.00;0.500
0;B2;1.63;0.00;1.630
0;B3;1.61;0.00;1.610
0;B4;1.34;0.00;1.340
0;B5;1.55;0.00;1.550
watts;; 284.16;;
amps;;27.31;;
0;B0;1.25;0.00;1.250
0;B1;0.50;0.00;0.500
0;B2;1.54;0.00;1.540
0;B3;1.54;0.00;1.540
0;B4;1.32;0.00;1.320
0;B5;1.52;0.00;1.520
watts;;  28.00;;
amps;;28.98;;
0;B0;1.50;0.00;1.500
0;B1;0.83;0.00;0.830
0;B2;1.75;0.00;1.750
0;B3;1.72;0.00;1.720
0;B4;1.54;0.00;1.540
0;B5;1.71;0.00;1.710
watts;; 294.48;;
amps;;17.20;;
0;B0;1.27;0.00;1.270
0;B1;0.53;0.00;0.530
0;B2;1.59;0.00;1.590
0;B3;1.56;0.00;1.560
0;B4;1.33;0.00;1.330
0;B5;1.53;0.00;1.530
watts;; 298.81;;
amps;;23.87;;
0;B0;1.54;0.00;1.540
0;B1;0.87;0.00;0.870
0;B2;1.77;0.00;1.770
0;B3;1.75;0.00;1.750
0;B4;1.57;0.00;1.570
0;B5;1.74;0.00;1.740
watts;; 304.72;;
amps;;16.31;;
0;B0;1.36;0.00;1.360
0;B1;0.79;0.00;0.790
0;B2;1.65;0.00;1.650
0;B3;1.68;0.00;1.680
0;B4;1.45;0.00;1.450
0;B5;1.63;0.00;1.630
watts;; 306.36;;
amps;;22.75;;
0;B0;2.65;0.00;2.650
0;B1;2.54;0.00;2.540
0;B2;2.69;0.00;2.690
0;B3;2.65;0.00;2.650
0;B4;2.64;0.00;2.640
0;B5;2.69;0.00;2.690
watts;; 307.17;;
amps;; 0.00;;
0;B0;2.69;0.00;2.690
0;B1;2.59;0.00;2.590
0;B2;2.72;0.00;2.720
0;B3;2.71;0.00;2.710
0;B4;2.68;0.00;2.680
0;B5;2.74;0.00;2.740
watts;; 307.17;;
amps;; 0.00;;
0;B0;2.72;0.00;2.720
0;B1;2.63;0.00;2.630
0;B2;2.76;0.00;2.760
0;B3;2.73;0.00;2.730
0;B4;2.71;0.00;2.710
0;B5;2.74;0.00;2.740
watts;; 307.17;;
amps;; 0.00;;
0;B0;2.74;0.00;2.740
0;B1;2.66;0.00;2.660
0;B2;2.78;0.00;2.780
0;B3;2.74;0.00;2.740
0;B4;2.73;0.00;2.730
0;B5;2.78;0.00;2.780
watts;; 307.17;;
amps;; 0.00;;
0;B0;2.76;0.00;2.760
0;B1;2.68;0.00;2.680
0;B2;2.79;0.00;2.790
0;B3;2.75;0.00;2.750
0;B4;2.75;0.00;2.750
0;B5;2.78;0.00;2.780
watts;; 307.17;;
amps;; 0.00;;
0;B0;2.78;0.00;2.780
0;B1;2.71;0.00;2.710
0;B2;2.80;0.00;2.800
0;B3;2.77;0.00;2.770
0;B4;2.77;0.00;2.770
0;B5;2.81;0.00;2.810
watts;; 307.17;;
amps;; 0.00;;
0;B0;2.78;0.00;2.780
0;B1;2.71;0.00;2.710
0;B2;2.81;0.00;2.810
0;B3;2.79;0.00;2.790
0;B4;2.77;0.00;2.770
0;B5;2.80;0.00;2.800
watts;; 307.10;;
amps;; 0.00;;
0;B0;2.76;0.00;2.760
0;B1;2.69;0.00;2.690
0;B2;2.80;0.00;2.800
0;B3;2.76;0.00;2.760
0;B4;2.76;0.00;2.760
0;B5;2.79;0.00;2.790
watts;; 307.23;;
amps;; 0.00;;
0;B0;2.77;0.00;2.770
0;B1;2.71;0.00;2.710
0;B2;2.81;0.00;2.810
0;B3;2.76;0.00;2.760
0;B4;2.78;0.00;2.780
0;B5;2.82;0.00;2.820
watts;; 307.25;;
amps;; 0.00;;
0;B0;2.81;0.00;2.810
